廠商名稱,SVG_ID,產業類別,主要產品,聯絡電話,地址
AZ,svg_658,醫療儀器,系統平台,02-1234-5678,新北市五股區
AZ,svg_659,醫療儀器,系統平台,02-1234-5678,新北市五股區
FMC,svg_661,醫療儀器,系統平台,02-1234-5678,新北市五股區
FMC,svg_662,醫療儀器,系統平台,02-1234-5678,新北市五股區
FMC,svg_663,醫療儀器,系統平台,02-1234-5678,新北市五股區
中化,svg_665,醫療儀器,系統平台,02-1234-5678,新北市五股區
中化,svg_666,醫療儀器,系統平台,02-1234-5678,新北市五股區
益富,svg_668,醫療儀器,系統平台,02-1234-5678,新北市五股區
益富,svg_669,醫療儀器,系統平台,02-1234-5678,新北市五股區
亞培,svg_671,醫療儀器,系統平台,02-1234-5678,新北市五股區
亞培,svg_672,醫療儀器,系統平台,02-1234-5678,新北市五股區
偉喬,svg_674,醫療儀器,系統平台,02-1234-5678,新北市五股區
偉喬,svg_675,醫療儀器,系統平台,02-1234-5678,新北市五股區
偉喬,svg_677,醫療儀器,系統平台,02-1234-5678,新北市五股區
偉喬,svg_678,醫療儀器,系統平台,02-1234-5678,新北市五股區
台田,svg_680,醫療儀器,系統平台,02-1234-5678,新北市五股區
台田,svg_681,醫療儀器,系統平台,02-1234-5678,新北市五股區
台田,svg_683,醫療儀器,系統平台,02-1234-5678,新北市五股區
台田,svg_684,醫療儀器,系統平台,02-1234-5678,新北市五股區
Everest,svg_686,光電儀器,系統平台,02-1234-5678,新北市五股區
Everest,svg_687,光電儀器,系統平台,02-1234-5678,新北市五股區
Everest,svg_688,光電儀器,系統平台,02-1234-5678,新北市五股區
Everest,svg_689,光電儀器,系統平台,02-1234-5678,新北市五股區
Everest,svg_690,光電儀器,系統平台,02-1234-5678,新北市五股區
Everest,svg_691,光電儀器,系統平台,02-1234-5678,新北市五股區
Everest,svg_692,光電儀器,系統平台,02-1234-5678,新北市五股區
泰和碩,svg_694,光電儀器,系統平台,02-1234-5678,新北市五股區
泰和碩,svg_695,光電儀器,系統平台,02-1234-5678,新北市五股區
泰和碩,svg_696,光電儀器,系統平台,02-1234-5678,新北市五股區
萬益特,svg_698,光電儀器,系統平台,02-1234-5678,新北市五股區
萬益特,svg_699,光電儀器,系統平台,02-1234-5678,新北市五股區
萬益特,svg_700,光電儀器,系統平台,02-1234-5678,新北市五股區
萬益特,svg_702,光電儀器,系統平台,02-1234-5678,新北市五股區
萬益特,svg_703,光電儀器,系統平台,02-1234-5678,新北市五股區
萬益特,svg_704,光電儀器,系統平台,02-1234-5678,新北市五股區
諾華,svg_706,光電儀器,系統平台,02-1234-5678,新北市五股區
諾華,svg_707,光電儀器,系統平台,02-1234-5678,新北市五股區
Vera Therapeutics,svg_709,醫療儀器,系統平台,02-1234-5678,新北市五股區
